image	total pixels	object pixels	    
01.jpg 	9581		7092
02.jpg	9243		5931
03.jpg	6900		6872
04.jpg	7995		7104
05.jpg	3040		2739
06.jpg	6384		5055
07.jpg	6106		4899
08.jpg	6715		5172
09.jpg	5356		2970
10.jpg	6090		4071
11.jpg	6720		5594
12.jpg	3128		1766
13.jpg	4884		4553
14.jpg	16588		10548
15.jpg	8307		7005
16.jpg	24511		20991
17.jpg	6650		4432
18.jpg	10906		8878
19.jpg	14850		11507
20.jpg	4544		2520
21.jpg	1444		1424
22.jpg	1980		1817
23.jpg	1517		1185
24.jpg	7957		5462
25.jpg	3648		3318
26.jpg	9159		6012
27.jpg	1100		745
28.jpg	4031		2276
29.jpg	11685		7940
30.jpg	4173		3660
