image	total pixels	object pixels	    
01.jpg 	135850		94912
02.jpg	162032		101434
03.jpg	149188		89562
04.jpg	133590		98702
05.jpg	180072		127539
06.jpg	161704		98040
07.jpg	178729		75807
08.jpg	134096		80458
09.jpg	121278		60958
10.jpg	126464		91264
11.jpg	161865		59950
12.jpg	160884		87562
13.jpg	135356		65391
14.jpg	161538		49462
15.jpg	134808		79567
16.jpg	177996		147571
17.jpg	130152		78636
18.jpg	134689		107751
19.jpg	88695		67594
20.jpg	74501		29638
21.jpg	116090		34861
22.jpg	161048		30209
23.jpg	119804		50713
24.jpg	133956		24790
25.jpg	150060		67017
26.jpg	161376		112938
27.jpg	158253		32737
28.jpg	160884		43384
29.jpg	180310		94742
30.jpg	178466		47115
