image	total pixels	object pixels	    
01.jpg 	135850		94912
02.jpg	162032		101400
03.jpg	149188		100589
04.jpg	133590		90702
05.jpg	180072		107532
06.jpg	161704		118050
07.jpg	178729		65809
08.jpg	134096		79458
09.jpg	121278		58954
10.jpg	126464		102268
11.jpg	161865		45950
12.jpg	160884		76582
13.jpg	135356		34391
14.jpg	161538		26462
15.jpg	134808		52567
16.jpg	177996		143524
17.jpg	130152		78037
18.jpg	134689		10589
19.jpg	88695		67489
20.jpg	74501		27986
21.jpg	116090		33465
22.jpg	161048		31468
23.jpg	119804		55786
24.jpg	133956		10356
25.jpg	150060		85964
26.jpg	161376		125874
27.jpg	158253		38561
28.jpg	160884		43384
29.jpg	180310		98520
30.jpg	178466		11165
